short_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,league_level,position,club_jersey_number,nationality_id,nation_team_id,nation_jersey_number,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
S. Nkansah,64,70,825000,750,25,188,78,110592,3,LCB,25,21,,,3,2,1,1400000,66,30,45,48,66,68,40,27,66,58,20,42,31,30,43,50,61,70,59,60,59,42,61,70,72,25,55,66,36,35,40,50,62,69,66,10,10,8,6,14,
C. McCarthy,64,71,1100000,2000,23,185,75,100805,1,SUB,5,25,,,3,2,1,2100000,57,28,48,52,65,76,51,21,63,55,29,50,28,29,44,52,61,54,51,58,53,40,78,88,74,32,63,63,27,43,33,55,64,67,64,7,13,7,8,8,
?scar Pinchi,64,69,875000,2000,25,171,62,472,2,RES,18,45,,,3,3,1,1500000,74,64,61,69,42,55,65,64,51,62,61,68,60,44,62,67,73,75,74,64,81,64,55,56,61,66,39,44,67,60,47,63,44,39,34,5,12,6,12,13,
R. Makowski,64,68,775000,2000,24,191,78,111092,1,SUB,6,37,,,2,3,1,1100000,62,61,60,61,62,71,53,62,57,64,41,64,49,61,59,62,64,61,58,59,49,63,83,70,75,60,58,62,62,61,59,55,64,63,58,14,10,13,14,12,
J. Brophy,64,64,650000,2000,26,180,72,1944,3,LM,7,14,,,3,3,1,1100000,77,52,58,64,55,67,61,53,42,60,40,63,52,50,57,61,79,76,80,57,67,56,61,89,63,50,53,55,59,58,42,56,57,58,57,8,10,9,7,6,
O. Gonzalez,64,70,850000,1000,23,187,87,614,2,RCB,25,103,,,2,2,1,1700000,58,28,34,51,63,73,25,24,66,48,30,46,27,28,30,58,54,62,51,52,52,38,70,63,84,24,60,60,21,26,40,53,61,66,62,8,14,12,6,12,
Leonardo Freij?o,64,64,575000,3000,25,176,72,111059,1,SUB,6,54,,,3,2,1,1100000,44,45,55,43,68,61,57,38,69,65,22,24,30,42,57,55,52,38,59,69,75,62,57,64,61,53,59,72,35,41,50,53,68,69,56,15,15,18,15,15,
Marcelo Vildeia,64,64,650000,7000,25,172,69,1629,1,SUB,19,54,,,3,2,1,1200000,83,62,49,69,30,54,34,59,53,61,72,72,59,49,43,62,77,88,75,63,82,65,67,65,52,61,41,38,71,46,62,59,22,23,31,12,18,17,18,14,
Peixotacinho,64,64,575000,3000,25,187,83,1598,1,SUB,15,54,,,3,2,1,1100000,38,32,44,33,67,74,43,19,50,60,20,21,16,45,44,35,40,36,47,53,48,50,74,65,81,45,68,64,20,26,49,58,73,72,58,14,16,16,10,11,
Mateus Couteira,64,64,575000,4000,25,177,75,112476,1,SUB,17,54,,,3,2,1,1100000,63,35,55,50,66,61,54,24,65,62,54,45,50,44,58,48,68,58,67,56,70,41,72,45,68,42,61,65,44,45,57,41,70,61,68,15,11,14,10,15,
Iuliano Alfaro,64,64,375000,4000,33,177,72,1598,1,SUB,8,54,,,3,3,1,713000,56,68,53,67,27,62,57,74,57,49,63,66,50,60,43,69,62,51,64,69,73,55,70,69,62,71,51,21,62,63,57,60,14,31,33,17,12,16,18,18,
M. ?rnek,64,68,850000,3000,24,184,77,113259,1,SUB,17,48,,,4,3,1,1700000,73,59,59,66,57,64,65,56,62,64,62,66,63,36,56,66,74,72,74,62,66,64,60,58,70,59,59,58,59,52,60,50,57,55,51,15,15,13,6,10,
E. Robson,64,69,875000,3000,24,178,73,1798,3,CM,17,14,,,3,2,1,,63,58,64,63,60,64,59,55,54,66,52,62,56,60,66,64,65,62,66,63,57,65,53,72,65,58,56,59,58,65,55,60,61,60,61,7,8,15,7,12,
Nacho Gil,64,65,700000,2000,25,168,63,100851,2,RES,21,45,,,4,3,1,1200000,78,60,61,64,40,47,58,58,30,59,51,61,66,67,57,60,80,77,77,63,82,62,34,62,37,63,55,44,64,67,59,64,40,41,35,5,8,7,14,14,
Z. Jules,64,70,850000,2000,24,190,72,1798,3,SUB,4,42,,,2,2,1,1700000,73,34,54,56,63,75,54,29,63,57,22,54,49,34,56,55,74,73,63,59,52,46,67,70,82,33,66,62,51,52,38,57,63,63,61,12,15,5,10,11,
A. Sorge,64,64,500000,2000,28,192,82,114398,3,RES,13,21,,,3,2,1,725000,45,28,36,39,64,71,28,26,69,52,18,29,25,24,30,46,51,40,50,57,43,42,55,59,81,23,66,62,24,27,31,51,60,66,65,11,8,9,7,8,
J. Pask,64,73,1200000,4000,23,187,76,1800,2,SUB,16,14,,,3,2,1,2500000,78,29,51,54,63,68,53,21,62,59,20,51,19,26,53,56,76,80,59,54,55,51,64,58,73,26,67,62,47,48,21,58,64,63,62,10,8,14,7,14,
Rivaldinho,64,65,700000,3000,26,186,85,110747,1,SUB,7,54,,,3,3,1,998000,68,63,59,62,33,67,51,64,70,61,49,61,53,58,58,64,66,70,59,62,70,64,81,64,73,63,53,27,62,64,66,65,21,37,35,7,14,9,10,12,
M. ?arki?,64,71,1000000,9000,23,195,76,88,2,GK,13,15,,,2,1,1,,,,,,,,11,13,18,27,13,12,18,12,22,25,40,33,33,61,28,47,47,20,39,17,20,6,6,22,26,27,11,19,14,65,62,62,63,61,37
C. Lewis,64,69,875000,1000,24,173,72,111766,1,LDM,23,198,111473,8,3,2,1,1200000,71,59,67,67,56,68,67,56,52,66,53,65,69,70,67,65,75,67,77,62,80,63,69,70,68,63,64,58,58,68,58,63,56,55,58,15,12,11,6,13,
L. Grace,64,65,550000,1000,28,189,81,306,1,LCB,5,25,,,3,2,1,894000,52,26,42,53,63,73,22,25,60,59,20,52,29,25,54,55,49,55,45,63,41,35,80,67,80,22,62,61,20,32,31,64,65,64,64,13,14,6,7,6,
D. Fox,64,67,675000,550,27,186,80,113298,1,SUB,12,195,,,2,2,1,962000,70,25,44,52,63,73,36,20,63,54,26,49,22,27,48,54,68,72,54,57,50,30,81,67,79,24,64,65,36,39,34,54,58,66,64,15,14,12,6,8,
Y. Ayg?n,64,69,675000,2000,25,193,86,111117,1,SUB,1,48,,,1,1,1,1400000,,,,,,,12,8,11,27,6,12,10,10,25,16,45,48,40,54,29,44,54,30,75,9,24,14,8,25,13,60,7,14,13,65,64,59,63,65,46
Jo?o Costa,64,70,725000,4000,25,185,80,110832,1,RES,35,38,,,1,1,1,1700000,,,,,,,13,10,10,19,12,12,13,14,26,17,18,33,31,63,48,43,57,23,58,13,19,13,10,29,16,36,14,13,14,63,62,57,63,64,24
M. Omoh,64,64,575000,2000,29,183,82,113391,1,RES,92,133,,,3,3,1,776000,81,60,55,66,37,75,59,58,56,58,55,69,48,53,48,63,81,81,64,57,80,71,67,70,79,55,75,37,57,55,55,58,24,41,42,11,14,14,13,8,
C. Borthwick-Jackson,64,68,775000,2000,24,189,73,15015,3,SUB,3,14,,,3,3,1,1400000,69,45,59,60,59,70,63,42,57,60,41,61,67,48,58,61,69,69,57,58,58,53,71,74,74,44,57,59,56,55,46,58,59,60,60,6,11,8,11,9,
G. Ram?rez,64,64,500000,650,31,180,66,111722,1,ST,27,58,,,4,3,1,675000,76,65,45,65,33,51,36,70,61,45,54,65,45,36,41,64,75,76,72,60,66,64,64,65,50,59,32,18,64,57,64,60,35,34,30,10,12,14,15,6,
V. M?ller,64,71,1200000,3000,22,175,69,15040,1,RCM,4,4,,,3,2,1,2000000,70,51,62,65,58,61,54,51,53,64,44,63,58,45,68,64,72,69,74,65,78,56,72,71,55,46,61,62,58,68,44,63,55,61,56,10,10,9,14,7,
T. Clarke,64,73,1200000,3000,23,175,65,1962,4,SUB,20,25,,,3,3,1,2300000,84,52,59,66,57,65,61,49,44,61,35,66,55,48,59,64,86,82,81,51,80,60,81,66,63,55,65,54,56,56,46,58,57,62,59,8,11,10,7,8,
D. Acosta,64,71,1100000,2000,23,180,77,697,1,RES,24,81,,,3,3,1,1900000,70,49,62,63,60,66,61,39,58,69,49,64,60,66,58,63,69,71,67,53,63,63,67,54,70,54,70,62,59,51,61,57,55,64,62,15,6,7,12,10,
T. Endoh,64,64,625000,2000,27,170,63,111651,1,SUB,31,163,,,3,3,1,938000,63,57,63,67,43,49,62,55,46,68,43,68,63,37,62,65,70,57,70,60,76,64,40,60,42,60,55,47,62,61,49,64,33,50,37,15,6,7,8,12,
A. Alfaro,64,66,600000,2000,28,183,79,688,1,SUB,93,83,,,3,2,1,945000,59,25,45,52,63,71,28,20,59,59,23,47,24,25,59,56,55,62,52,60,59,39,57,52,82,18,69,60,20,35,39,55,64,64,62,15,6,7,12,8,
N. Bandiera,64,64,475000,4000,31,172,65,110581,1,SUB,36,52,,,3,3,1,689000,74,60,53,66,22,44,51,62,56,61,38,65,31,27,53,64,75,74,77,65,76,51,64,61,41,67,25,17,68,51,61,50,20,17,19,9,11,11,11,5,
G. Aburjania,64,67,750000,3000,26,186,75,1888,1,SUB,15,20,,,5,2,1,1600000,52,60,66,64,63,69,64,59,56,66,47,63,67,66,63,65,50,53,61,65,64,65,68,59,71,62,75,69,58,68,49,71,64,62,57,8,7,7,6,11,
J. Hern?ndez,64,72,1100000,2000,24,183,75,101114,1,SUB,1,83,,,2,1,1,2100000,,,,,,,14,9,10,17,7,10,11,11,24,15,23,29,26,46,47,47,69,39,56,5,21,17,16,50,15,43,25,12,11,64,67,62,65,64,25
J. Lawrence-Gabriel,64,73,1300000,3000,22,181,75,1926,2,RB,4,14,,,2,2,1,2700000,77,32,47,60,60,63,60,27,52,51,36,63,41,31,47,54,76,78,72,56,67,36,75,66,65,29,51,59,53,34,44,50,58,64,65,12,14,7,12,13,
S. Salles-Lamonge,64,69,850000,2000,25,170,67,58,2,SUB,10,18,,,3,3,1,1600000,65,60,65,67,46,48,64,63,47,68,61,66,59,48,65,68,61,68,63,58,88,55,52,72,36,59,46,47,62,67,56,64,40,50,53,9,14,8,7,8,
S. Ibeagha,64,65,550000,2000,29,188,85,112996,1,SUB,25,95,,,3,2,1,866000,70,26,46,45,64,69,30,22,63,65,20,46,29,28,55,44,69,70,31,64,42,39,68,55,79,22,61,55,20,32,30,55,68,65,66,12,6,6,15,11,
T. Ugajin,64,64,300000,3000,33,172,71,111575,1,LB,3,163,,,4,2,1,390000,59,59,64,66,60,63,65,53,55,66,50,65,64,59,65,67,71,50,70,60,73,66,70,66,63,65,58,66,64,61,65,63,59,60,57,9,8,6,12,9,
S. Kobayashi,64,64,575000,1000,30,174,70,113161,1,RM,5,163,,,3,2,1,719000,64,56,66,62,52,70,70,55,54,63,43,59,68,63,62,63,62,65,70,61,71,62,77,87,68,57,50,46,55,68,45,57,46,61,56,13,10,6,6,11,
K. Oiwa,64,64,400000,1000,31,183,78,113161,1,SUB,22,163,,,3,2,1,500000,58,23,50,51,64,75,62,21,55,56,20,45,28,32,50,56,57,59,56,64,55,21,77,81,79,22,58,62,45,39,31,47,66,66,63,5,13,8,12,6,
K. Shiihashi,64,68,775000,2000,24,178,70,101145,1,LCM,26,163,,,3,2,1,1000000,58,33,57,57,61,71,49,29,56,65,37,52,32,38,62,61,72,47,69,60,67,39,70,85,68,27,59,63,53,57,37,47,60,64,58,9,12,10,7,7,
T. Morita,64,64,400000,950,30,191,87,113160,1,SUB,1,163,,,3,1,1,500000,,,,,,,11,7,13,25,5,14,12,14,27,19,27,29,27,63,26,46,34,18,31,9,19,8,7,59,16,21,16,14,10,63,61,61,65,63,28
Y. Kobayashi,64,64,450000,1000,32,180,70,113183,1,RCM,6,163,,,3,2,1,563000,42,48,60,58,61,63,44,48,49,69,25,57,34,37,67,61,46,38,45,64,65,49,48,73,61,51,59,65,63,66,39,55,63,61,60,9,14,5,9,11,
Eduardo,64,66,600000,1000,28,184,84,113160,1,CB,3,54,,,3,2,1,795000,58,33,44,51,62,81,40,19,64,55,30,50,32,25,48,54,38,75,35,61,47,64,50,85,91,36,60,62,28,33,34,60,60,64,61,9,6,15,13,14,
Kim Byeom Yong,64,64,575000,1000,30,181,72,112558,1,SUB,33,167,,,5,2,1,719000,78,55,61,64,45,65,71,44,65,61,62,66,72,47,52,63,79,78,72,52,63,70,64,71,68,63,51,43,54,58,53,48,45,42,41,14,6,8,13,10,
T. Ominami,64,69,800000,2000,23,184,76,101145,1,CB,25,163,,,3,2,1,1100000,87,29,37,46,62,75,28,32,58,46,24,37,23,32,42,50,81,92,58,66,55,29,85,82,76,24,63,63,22,32,41,49,58,66,62,10,10,11,7,13,
J. Cascini,64,70,850000,1000,24,171,68,113391,1,LDM,28,52,,,3,3,1,1300000,61,57,60,63,60,72,58,53,62,62,58,58,39,65,61,61,54,66,76,67,80,66,56,75,69,57,79,64,56,61,58,63,57,60,58,6,5,15,14,10,
C. Togashi,64,64,625000,2000,27,178,75,112836,1,RES,42,163,,,3,2,1,781000,74,62,45,63,27,66,42,63,65,52,55,62,31,27,44,63,80,69,70,59,66,64,78,64,72,58,49,14,68,43,58,53,34,21,10,7,12,14,12,12,
I. Chicco,64,67,600000,2000,25,183,80,110406,1,SUB,17,52,,,3,1,1,945000,,,,,,,8,7,14,24,6,12,13,14,18,15,30,33,43,52,41,44,66,24,68,11,18,10,6,40,21,39,20,13,10,67,65,59,63,63,31
M. Ali,64,71,1100000,7000,23,183,68,112139,1,RES,21,183,,,3,2,1,2100000,63,52,60,64,57,65,35,48,38,68,42,60,59,61,68,67,64,62,72,59,63,61,56,74,62,54,63,62,53,63,47,69,64,55,50,15,9,14,10,10,
H. Otani,64,64,110000,2000,36,174,67,101145,1,RES,7,163,,,3,2,1,138000,32,35,58,49,64,57,46,27,58,67,28,39,31,33,65,60,31,33,35,60,73,51,43,50,61,36,61,72,46,60,43,56,68,60,55,11,6,5,6,14,
K. Ogawa,64,64,600000,1000,28,170,65,113197,1,SUB,13,163,,,4,3,1,750000,72,62,60,64,46,59,59,62,45,61,59,63,62,64,58,62,73,71,77,59,80,65,66,73,56,61,48,49,61,57,59,56,47,44,46,12,11,9,11,11,
S. Kobayashi,64,64,625000,1000,27,176,68,113183,1,LF,25,163,,,3,2,1,781000,78,64,58,63,46,64,61,63,43,62,41,65,68,35,51,63,74,81,63,55,70,71,70,67,63,69,59,53,62,57,40,54,51,37,45,14,9,14,7,8,
K. Watanabe,64,64,275000,1000,34,182,79,113197,1,ST,39,163,,,3,3,1,344000,37,65,64,66,29,67,61,64,70,67,66,65,68,39,63,67,40,35,74,55,57,69,82,67,81,63,29,18,69,66,62,74,20,35,22,9,10,14,6,10,
M. Mihara,64,64,400000,3000,32,175,67,101145,1,SUB,27,163,,,3,2,1,500000,54,47,60,58,61,71,64,46,55,62,26,58,33,39,62,57,55,53,54,66,72,40,92,84,65,63,63,66,47,65,43,52,62,58,59,14,7,6,6,6,
T. Kanamori,64,64,625000,1000,27,171,74,113186,1,RM,37,163,,,3,3,1,781000,92,57,52,67,30,71,53,60,59,59,54,66,55,40,43,63,93,92,93,51,73,58,88,75,72,49,59,19,56,48,63,60,36,22,33,10,13,13,7,10,
Hong Jeong Un,64,69,775000,2000,26,187,76,2056,1,CB,6,167,,,3,2,1,1000000,56,37,56,50,62,73,42,22,72,66,29,43,28,28,63,57,60,52,50,59,60,55,78,72,76,51,63,63,54,63,39,56,54,65,61,6,12,14,13,12,
Park Han Bin,64,72,1300000,2000,23,183,80,2056,1,RCM,8,167,,,3,3,1,1900000,44,47,62,59,58,71,55,34,49,68,30,57,37,33,65,59,52,37,68,67,59,62,51,77,74,61,62,63,64,69,43,55,59,58,54,14,10,13,14,13,
L. Bolton,64,71,1100000,14000,21,176,72,10,1,RES,74,14,,,3,3,1,2300000,81,51,59,64,59,63,65,52,52,63,32,64,61,39,52,63,82,80,75,56,72,56,84,60,61,46,65,59,58,58,56,52,59,63,53,12,6,9,11,6,
D. Cleary,64,68,725000,900,25,182,74,837,1,LCB,21,25,,,3,2,1,1200000,58,36,43,50,64,69,34,33,62,59,32,48,34,31,47,50,54,62,48,58,52,50,65,65,71,30,70,63,25,27,50,52,62,66,64,5,8,9,11,6,
J. Pereyra,64,74,1200000,3000,22,181,73,111708,1,SUB,22,52,,,2,2,1,,63,55,62,64,57,67,55,47,45,69,48,63,56,51,63,66,63,63,68,64,68,64,66,72,65,65,65,52,59,62,52,55,61,62,52,8,12,10,10,7,
E. Takeda,64,64,400000,1000,32,173,71,113197,1,SUB,17,163,,,2,2,1,500000,66,47,63,63,61,65,69,38,45,66,32,60,47,46,62,64,69,63,70,55,72,58,65,61,66,56,68,61,63,59,42,61,63,62,63,8,5,11,11,6,
V. Gutkovskis,64,66,725000,2000,26,187,82,114326,1,ST,21,28,,,4,2,1,1000000,76,60,50,63,25,78,32,59,65,62,57,62,38,32,48,64,75,76,64,59,66,64,72,76,85,56,65,26,65,55,63,55,26,11,17,9,9,13,9,14,
S. McLoughlin,64,71,1200000,2000,24,175,70,357,3,RCM,19,25,,,3,3,1,2300000,76,58,62,66,58,61,62,58,45,64,51,65,55,47,62,64,74,77,80,62,79,60,59,76,57,61,55,60,62,63,45,59,57,61,57,14,14,6,14,5,
S. Clare,64,69,800000,2000,24,190,79,89,3,RCM,28,14,,,3,3,1,1500000,72,62,62,63,62,72,62,62,66,63,54,65,65,50,62,64,73,72,65,59,39,63,66,71,76,63,63,60,60,63,70,54,61,62,61,6,5,8,10,10,
A. Diawusie,64,71,1200000,4000,23,180,75,503,2,SUB,11,21,,,3,3,1,2100000,90,57,50,66,28,64,54,58,56,62,53,66,39,30,28,61,91,90,81,65,77,59,81,67,63,56,58,23,61,48,49,53,34,21,13,11,10,8,7,7,
J. Moe,64,67,725000,1000,25,185,75,917,1,LB,18,36,,,3,2,1,961000,68,33,58,59,60,62,64,25,58,59,23,56,59,55,57,58,69,68,66,57,74,52,72,71,58,30,60,65,46,52,37,57,56,63,59,10,15,6,13,5,
G. Hirst,64,74,1300000,17000,22,191,81,1790,3,SUB,19,14,,,3,2,1,,64,63,41,57,30,67,29,68,67,54,54,55,30,31,31,60,60,68,49,60,64,67,70,54,77,51,56,19,66,43,64,63,38,19,25,13,13,13,10,9,
A. Dandea,64,64,275000,2000,33,188,80,310,1,SUB,30,39,,,3,2,1,371000,48,47,53,46,61,67,43,43,68,64,37,42,34,37,61,45,45,50,46,62,48,50,70,34,81,58,72,59,48,44,41,60,57,64,63,14,12,6,15,6,
T. Sandoval,64,72,1300000,3000,22,185,71,112689,1,SUB,36,52,,,3,3,1,,66,61,45,64,29,68,34,66,65,56,46,64,45,33,42,66,65,66,66,58,58,66,70,64,74,48,56,18,69,44,60,58,22,32,24,9,7,5,8,6,
L. Cullen,64,74,1300000,6000,22,178,66,1960,2,RS,20,50,,,3,3,1,2700000,76,64,57,68,30,46,57,66,55,62,56,68,53,45,52,66,76,76,72,56,80,70,50,46,46,55,43,22,66,54,60,63,25,31,32,11,6,8,11,10,
Nelson Freitosa,64,64,475000,2000,25,185,81,111059,1,SUB,23,54,,,3,1,1,903000,,,,,,,14,6,11,19,8,12,9,11,16,16,48,49,50,65,61,50,75,39,65,7,20,11,9,37,19,61,9,8,11,59,47,66,72,74,48
R. Edmonds-Green,64,73,1200000,2000,22,181,73,1797,3,SUB,23,14,,,2,2,1,,66,30,48,54,64,64,46,25,58,58,32,48,44,42,43,57,63,68,61,63,64,40,75,58,68,27,60,67,40,40,40,51,63,64,64,14,8,11,12,14,
A. Ralston,64,70,875000,9000,22,178,76,78,1,RB,56,42,,,3,2,1,1800000,70,44,58,62,61,67,61,39,54,62,34,62,59,41,56,64,69,70,55,56,69,55,76,63,68,43,68,59,53,55,45,58,62,64,63,11,14,5,7,11,
Dany Mota,64,73,1300000,1000,23,180,74,111811,2,RES,47,38,,,3,2,1,2300000,67,58,57,68,28,58,50,65,67,67,44,70,42,39,39,68,67,67,63,64,69,56,46,65,65,44,36,17,66,66,57,62,26,24,29,13,10,14,6,7,
P. Olszewski,64,72,1300000,2000,22,178,68,110745,1,RES,19,37,,,2,2,1,2000000,82,41,49,58,58,62,56,41,47,58,28,57,51,31,35,57,88,77,61,63,72,45,56,67,62,42,57,59,44,42,38,55,58,62,56,8,12,8,13,8,
N. Ennis,64,71,1200000,3000,22,180,76,1929,3,RES,11,14,,,3,3,1,2300000,83,62,48,65,39,66,49,63,56,51,57,64,49,29,48,63,82,84,78,60,76,65,57,70,69,59,55,39,63,48,57,53,38,35,33,5,14,9,13,6,
J. Kitolano,64,75,1300000,950,21,174,65,1456,1,LB,25,36,,,3,2,1,1900000,84,37,54,65,56,62,64,38,39,56,28,63,61,22,51,62,84,84,79,55,83,43,90,72,56,30,56,56,53,48,24,56,55,62,61,12,12,7,6,14,
Cho Young Wook,64,72,1300000,1000,22,178,73,982,1,RW,11,167,,,3,4,1,1900000,80,58,55,66,28,64,50,57,54,55,61,64,70,56,54,63,74,84,77,64,81,57,60,74,63,58,55,29,65,59,64,57,34,19,12,13,10,12,10,10,
C. O'Keeffe,64,72,1200000,4000,23,184,70,1955,4,RWB,2,25,,,4,2,1,,77,55,59,62,58,66,60,57,55,60,43,63,57,60,60,62,77,77,64,56,63,56,77,72,65,53,59,57,52,55,50,59,56,61,60,9,8,10,7,6,
A. Fisher,64,72,1100000,2000,23,183,73,1798,3,GK,1,14,,,3,1,1,2100000,,,,,,,12,5,13,37,7,13,11,11,35,34,36,31,40,54,41,50,46,29,41,5,25,9,6,43,11,50,25,10,14,64,62,66,63,66,34
N. Barona,64,69,875000,500,23,175,65,112523,1,SUB,25,56,,,2,3,1,1200000,77,58,55,67,34,50,58,60,44,57,44,70,48,39,48,63,74,79,72,60,76,60,63,67,48,50,28,17,65,60,62,55,47,29,29,7,10,13,6,6,
O. Bogle,64,64,625000,3000,27,190,80,142,3,SUB,7,14,,,5,3,1,1100000,64,64,50,62,30,67,39,65,63,60,58,63,54,48,38,63,66,62,63,59,54,66,64,57,80,61,47,32,66,53,60,57,23,27,23,8,14,10,14,8,
J. Okkels,64,76,1400000,1000,21,183,75,700,1,LW,19,13,,,3,3,1,2000000,82,58,56,65,26,61,52,58,40,59,53,64,46,40,53,63,83,82,80,58,74,60,53,65,63,61,54,26,61,62,35,60,23,25,25,7,12,13,12,6,
S. Gr?nning,64,67,800000,3000,24,188,85,1443,1,ST,9,13,,,3,2,1,1100000,77,63,53,63,27,71,42,65,65,58,60,60,52,45,49,62,75,78,80,60,75,65,64,72,75,55,62,20,63,60,62,60,28,20,20,5,10,15,7,6,
Juanpe,64,69,850000,2000,25,184,77,110831,2,SUB,6,45,,,3,2,1,1400000,72,62,65,64,58,71,65,65,53,63,47,63,56,54,70,69,68,75,62,47,63,61,67,80,70,60,63,50,61,69,61,67,63,60,53,7,10,11,6,11,
N. Baxter,64,72,1100000,2000,22,188,76,1952,2,SUB,13,14,,,2,1,1,2300000,,,,,,,14,11,13,30,10,14,12,14,31,31,36,40,28,46,31,47,58,31,52,12,25,12,7,37,11,42,12,13,12,66,64,63,65,67,38
J. Ruiz,64,75,1200000,5000,23,188,82,110770,1,RES,24,18,,,3,2,1,2000000,66,42,58,59,64,69,58,34,59,62,38,57,41,40,58,61,67,66,60,59,49,58,72,68,73,41,61,66,59,59,49,64,63,65,63,6,13,9,9,7,
G. Tomasiewicz,64,68,800000,1000,25,166,64,114004,1,LCM,20,37,,,3,3,1,1100000,72,56,63,65,58,56,59,60,45,66,53,62,61,55,63,63,77,67,81,64,80,52,57,82,46,51,49,60,64,63,48,61,50,66,65,11,14,14,11,13,
K. Duah,64,71,1200000,3000,24,183,80,898,1,SUB,11,47,,,3,2,1,2000000,86,64,56,61,31,74,51,65,52,56,56,62,57,43,59,59,78,92,70,56,60,69,75,80,76,61,59,18,65,61,52,58,41,26,24,11,9,11,13,11,
R. Edwards,64,65,700000,2000,25,175,66,112996,1,SUB,44,70,,,2,3,1,1100000,77,54,59,67,58,70,58,54,60,63,49,69,64,39,54,63,78,76,78,56,75,58,75,64,72,51,72,51,58,60,49,56,57,60,62,7,14,10,10,9,
M. Heinrich,64,69,875000,2000,23,180,75,110197,3,LM,21,21,,,2,3,1,1300000,79,53,58,65,30,58,60,55,49,62,48,63,46,58,46,65,82,77,78,59,74,60,58,73,60,43,33,22,61,59,50,53,30,29,26,7,14,12,14,6,
K. Demirta?,64,66,625000,3000,27,184,77,101026,1,SUB,4,48,,,3,2,1,1300000,65,33,52,60,63,68,58,33,68,59,33,61,51,37,56,59,67,64,61,59,64,30,74,67,71,28,62,63,51,36,41,45,61,62,67,13,6,10,14,13,
M. Opondo,64,71,1200000,3000,23,174,72,272,1,SUB,25,146,,,3,3,1,1700000,73,58,59,67,55,70,48,58,41,67,51,64,52,35,62,68,69,77,78,64,82,61,71,88,69,55,49,58,61,59,58,59,57,57,54,14,10,6,12,10,
S. Reddemann,64,68,725000,1000,25,191,79,110482,3,SUB,25,21,,,3,2,1,1100000,71,31,45,49,64,70,49,29,70,59,31,45,29,27,42,54,65,75,51,63,42,44,47,73,76,21,58,62,27,29,41,46,64,63,60,10,12,15,9,7,
R. Jendrusch,64,69,675000,3000,25,191,85,111239,2,SUB,1,21,,,3,1,1,1100000,,,,,,,11,10,10,30,5,16,19,13,28,25,38,30,37,51,35,44,82,28,51,7,19,10,7,34,10,39,12,11,11,67,60,59,60,70,35
P. Kammerbauer,64,68,775000,1000,24,174,73,110691,3,RM,31,21,,,4,3,1,1200000,68,54,62,67,56,68,62,52,45,67,40,63,62,43,59,68,73,64,79,63,83,59,76,72,64,56,73,58,62,61,40,55,54,60,58,8,12,8,5,7,
P. P?rvulescu,64,64,400000,2000,32,170,71,113391,1,LB,22,39,,,3,2,1,540000,71,50,60,62,58,57,64,45,45,60,40,59,60,60,63,61,72,71,74,62,78,63,49,66,58,53,45,55,44,55,55,55,58,61,64,7,14,8,8,8,
N. Freeman,64,67,775000,2000,25,180,78,1933,3,SUB,22,14,,,3,3,1,1400000,76,57,62,66,52,60,62,55,45,64,48,65,55,43,61,65,77,75,74,60,72,62,62,74,60,57,42,53,63,64,53,61,50,56,48,8,10,13,14,9,
V. Moberg,64,64,550000,1000,30,190,84,918,1,SUB,22,36,,,3,2,1,688000,60,58,60,61,60,80,57,56,65,65,38,62,46,35,63,63,59,61,54,64,52,70,71,82,82,56,73,62,62,61,59,64,59,60,55,11,14,7,10,5,
Carbonell,64,71,1200000,5000,23,182,73,450,1,RES,42,45,,,3,3,1,2800000,52,60,63,68,63,61,59,60,57,66,49,67,59,51,65,68,59,47,75,63,78,62,56,64,57,62,66,63,57,63,49,54,62,65,62,5,5,12,12,14,
E. Oti Essigba,64,68,850000,1000,24,172,73,112836,1,SUB,29,117,,,2,3,1,1100000,93,55,55,65,35,61,57,52,49,55,66,63,64,51,50,63,92,93,89,65,72,63,85,58,66,51,46,31,57,55,47,49,33,35,33,12,5,12,9,12,
M. Ambrose,64,64,575000,2000,27,175,75,112885,1,SUB,33,95,,,3,2,1,863000,69,40,51,57,61,67,52,26,66,63,29,54,29,38,37,58,68,70,63,61,67,68,79,66,67,41,67,58,38,49,54,55,55,67,62,14,13,13,13,11,
L. James-Wildin,64,71,1100000,2000,23,178,75,361,4,RB,2,63,,,3,2,1,2100000,81,51,54,61,57,77,60,49,52,56,34,61,49,36,45,58,80,81,75,56,66,56,79,87,76,58,66,57,55,55,36,56,57,59,57,11,8,7,14,13,
